Website,brightcloud_rep_score,zvelo_Category_1,zvelo_Category_2,zvelo_Category_3,IAB_TIER_1a,IAB_TIER_1b,IAB_TIER_1c,IAB_TIER_2a,IAB_TIER_2b,IAB_TIER_2c
healthline.com,96,Health – Other,,,Health & Fitness,,,,,
webmd.com,96,Health – Other,,,Health & Fitness,,,,,
verywellfit.com,88,Nutrition & Diet,Weight Loss,,Health & Fitness,,,Nutrition,Weight Loss,
mayoclinic.org,100,Health – Other,,,Health & Fitness,,,,,
womenshealthmag.com,88,Women’s Health,Magazines,,Health & Fitness,News,,Women’s Health,,
eatthis.com,92,Health/Lowfat Cooking,Nutrition & Diet,Magazines,Food & Drink,Health & Fitness,News,Nutrition,Health/Lowfat Cooking,
medicalnewstoday.com,96,Health – Other,"News, Portal & Search – Other",,Health & Fitness,News,,,,
prevention.com,88,Health – Other,Magazines,,Health & Fitness,News,,,,
amazon.com,81,Online Shopping,,,Shopping,,,,,
pinterest.com,81,Photo Sharing,Social Networking,,,,,Social Media,,
shape.com,96,Exercise,Nutrition & Diet,Magazines,Health & Fitness,News,,Exercise,Nutrition,
youtube.com,81,Streaming & Downloadable Video,,,Arts & Entertainment,,,Movies,,
eatingwell.com,96,Food & Drink – Other,Nutrition & Diet,Magazines,Food & Drink,Health & Fitness,News,Nutrition,,
yelp.com,88,Search Engines,Product Reviews & Price Comparisons,,News,Shopping,,Web Search,Comparison,
everydayhealth.com,81,Health – Other,"News, Portal & Search – Other",,Health & Fitness,News,,,,
livestrong.com,92,Nutrition & Diet,Weight Loss,,Health & Fitness,,,Nutrition,Weight Loss,
health.clevelandclinic.org,96,Health – Other,,,Health & Fitness,,,,,
today.com,92,Streaming & Downloadable Video,National News,,Arts & Entertainment,News,,Movies,National News,
goodhousekeeping.com,92,Magazines,,,News,,,,,
mediweightloss.com,92,Nutrition & Diet,,,Health & Fitness,,,Nutrition,,
menshealth.com,88,Magazines,,,News,,,,,
health.usnews.com,96,Health – Other,National News,,Health & Fitness,News,,National News,,
health.com,92,Health – Other,"News, Portal & Search – Other",,Health & Fitness,News,,,,
medicinenet.com,96,Health – Other,,,Health & Fitness,,,,,
verywellhealth.com,96,Reference Materials & Maps,Health – Other,,Education,Health & Fitness,,,,
health.harvard.edu,100,Educational Institutions,Health – Other,,Education,Health & Fitness,,,,
nlm.nih.gov,100,Biotechnology,Government Sponsored,,Business,"Law, Gov't & Politics",,Biotech/Biomedical,U.S. Government Resources,
self.com,88,Beauty,Health – Other,Magazines,Style & Fashion,Health & Fitness,News,Beauty,,
nhs.uk,81,Health – Other,Government Sponsored,,Health & Fitness,"Law, Gov't & Politics",,U.S. Government Resources,,
quora.com,84,Community Forums,Reference Materials & Maps,,Education,,,,,
walmart.com,92,Online Shopping,,,Shopping,,,,,
popsugar.com,92,Entertainment News & Celebrity Sites,,,Arts & Entertainment,,,Celebrity Fan/Gossip,,
timesofindia.indiatimes.com,92,International News,,,News,,,International News,,
hopkinsmedicine.org,96,Educational Institutions,Health – Other,,Education,Health & Fitness,,,,
singlecare.com,80,Health – Other,,,Health & Fitness,,,,,
boredpanda.com,88,Magazines,,,News,,,,,
my.clevelandclinic.org,92,Health – Other,,,Health & Fitness,,,,,
simple-nourished-living.com,96,Personal Pages & Blogs,Food & Drink – Other,,Food & Drink,,,,,
mensjournal.com,92,Men's Health,Magazines,,Health & Fitness,News,,Men's Health,,
rxlist.com,96,Pharmaceuticals,,,Health & Fitness,,,,,
obesitycoverage.com,88,Personal Pages & Blogs,Weight Loss,,Health & Fitness,,,Weight Loss,,
precisionnutrition.com,84,Nutrition & Diet,,,Health & Fitness,,,Nutrition,,
nbcnews.com,92,Streaming & Downloadable Video,International News,,Arts & Entertainment,News,,Movies,International News,
asmbs.org,50,Cosmetic Surgery,,,Health & Fitness,,,,,
cnet.com,96,"News, Portal & Search – Other",Technology – Other,,News,Technology & Computing,,,,
womansday.com,92,Magazines,,,News,,,,,
niddk.nih.gov,100,Health – Other,Government Sponsored,,Health & Fitness,"Law, Gov't & Politics",,U.S. Government Resources,,
thehealthy.com,92,Personal Pages & Blogs,Health – Other,,Health & Fitness,,,,,
insider.com,92,International News,,,News,,,International News,,
trifectanutrition.com,100,Nutrition & Diet,Weight Loss,,Health & Fitness,,,Nutrition,Weight Loss,
byrdie.com,92,Streaming & Downloadable Video,Beauty,,Arts & Entertainment,Style & Fashion,,Movies,Beauty,
lindora.com,100,Nutrition & Diet,,,Health & Fitness,,,Nutrition,,
observer.com,96,Streaming & Downloadable Video,International News,,Arts & Entertainment,News,,Movies,International News,
runnersworld.com,88,Running/Jogging,,,Sports,,,Running/Jogging,,
en.wikipedia.org,96,Reference Materials & Maps,Wikis,,Education,,,,,
groupon.com,92,Coupons,,,Shopping,,,Couponing,,
verywellmind.com,88,Reference Materials & Maps,Health – Other,,Education,Health & Fitness,,,,
xyngular.com,88,Supplements & Compounds,Advocacy Groups & Trade Associations,,Health & Fitness,"Law, Gov't & Politics",,,,
medlineplus.gov,100,Reference Materials & Maps,Health – Other,U.S. Government Resources,Education,Health & Fitness,"Law, Gov't & Politics",U.S. Government Resources,,
cancer.org,100,Cancer,Philanthropic Organizations,,Health & Fitness,"Law, Gov't & Politics",,Cancer,,
cancer.net,96,Cancer,,,Health & Fitness,,,Cancer,,
facebook.com,81,Social Networking,,,,,,Social Media,,
greatist.com,96,Community Forums,Exercise,,Health & Fitness,,,Exercise,,
muscleandfitness.com,92,Exercise,Magazines,Bodybuilding,Health & Fitness,News,Sports,Exercise,Bodybuilding,
developgoodhabits.com,64,Personal Pages & Blogs,Literature & Books,Nutrition & Diet,Education,Health & Fitness,,Books & Literature,Nutrition,
blog.myfitnesspal.com,81,Personal Pages & Blogs,Exercise,,Health & Fitness,,,Exercise,,
obesitymedicine.org,100,Health – Other,Advocacy Groups & Trade Associations,,Health & Fitness,"Law, Gov't & Politics",,,,
apps.apple.com,81,Mac OS,Mobile Phones,Portable,Technology & Computing,,,Mac OS,Portable,
goodrx.com,96,Pharmaceuticals,,,Health & Fitness,,,,,
core-trainingpt.com,96,Exercise,"Parks, Rec Facilities & Gyms",,Health & Fitness,Society,,Exercise,,
phentermineclinics.net,84,Weight Loss,,,Health & Fitness,,,Weight Loss,,
sparkpeople.com,96,Exercise,Nutrition & Diet,Weight Loss,Health & Fitness,,,Exercise,Nutrition,Weight Loss
hsph.harvard.edu,96,Educational Institutions,,,Education,,,,,
cdc.gov,100,U.S. Government Resources,,,"Law, Gov't & Politics",,,U.S. Government Resources,,
parents.com,96,Family & Parenting – Other,Magazines,,Family & Parenting,News,,,,
