Website,Total,Percent
healthline.com,197,9.12037037037037
webmd.com,91,4.21296296296296
verywellfit.com,85,3.93518518518519
mayoclinic.org,79,3.65740740740741
womenshealthmag.com,61,2.82407407407407
eatthis.com,40,1.85185185185185
medicalnewstoday.com,39,1.80555555555556
prevention.com,35,1.62037037037037
amazon.com,32,1.48148148148148
pinterest.com,30,1.38888888888889
shape.com,26,1.2037037037037
youtube.com,24,1.11111111111111
eatingwell.com,24,1.11111111111111
yelp.com,23,1.06481481481481
everydayhealth.com,23,1.06481481481481
livestrong.com,20,0.925925925925926
health.clevelandclinic.org,16,0.740740740740741
today.com,16,0.740740740740741
goodhousekeeping.com,16,0.740740740740741
mediweightloss.com,15,0.694444444444444
menshealth.com,15,0.694444444444444
health.usnews.com,15,0.694444444444444
health.com,14,0.648148148148148
medicinenet.com,13,0.601851851851852
verywellhealth.com,13,0.601851851851852
health.harvard.edu,13,0.601851851851852
nlm.nih.gov,12,0.555555555555556
self.com,12,0.555555555555556
nhs.uk,11,0.509259259259259
quora.com,11,0.509259259259259
walmart.com,11,0.509259259259259
popsugar.com,11,0.509259259259259
timesofindia.indiatimes.com,11,0.509259259259259
hopkinsmedicine.org,10,0.462962962962963
singlecare.com,10,0.462962962962963
boredpanda.com,9,0.416666666666667
my.clevelandclinic.org,9,0.416666666666667
simple-nourished-living.com,9,0.416666666666667
mensjournal.com,9,0.416666666666667
rxlist.com,9,0.416666666666667
obesitycoverage.com,8,0.37037037037037
precisionnutrition.com,8,0.37037037037037
nbcnews.com,8,0.37037037037037
asmbs.org,8,0.37037037037037
cnet.com,8,0.37037037037037
womansday.com,8,0.37037037037037
niddk.nih.gov,7,0.324074074074074
thehealthy.com,7,0.324074074074074
insider.com,7,0.324074074074074
trifectanutrition.com,7,0.324074074074074
byrdie.com,7,0.324074074074074
lindora.com,6,0.277777777777778
observer.com,6,0.277777777777778
runnersworld.com,6,0.277777777777778
en.wikipedia.org,6,0.277777777777778
groupon.com,6,0.277777777777778
verywellmind.com,6,0.277777777777778
xyngular.com,6,0.277777777777778
medlineplus.gov,6,0.277777777777778
cancer.org,6,0.277777777777778
cancer.net,6,0.277777777777778
facebook.com,6,0.277777777777778
greatist.com,6,0.277777777777778
muscleandfitness.com,5,0.231481481481481
developgoodhabits.com,5,0.231481481481481
blog.myfitnesspal.com,5,0.231481481481481
obesitymedicine.org,5,0.231481481481481
apps.apple.com,5,0.231481481481481
goodrx.com,5,0.231481481481481
core-trainingpt.com,5,0.231481481481481
phentermineclinics.net,5,0.231481481481481
sparkpeople.com,5,0.231481481481481
hsph.harvard.edu,5,0.231481481481481
cdc.gov,5,0.231481481481481
parents.com,5,0.231481481481481
manvfat.com,4,0.185185185185185
pwlc.com,4,0.185185185185185
atlantaendocrine.com,4,0.185185185185185
people.com,4,0.185185185185185
orbera.com,4,0.185185185185185
highkey.com,4,0.185185185185185
calculators.org,4,0.185185185185185
bariatric-surgery-source.com,4,0.185185185185185
thinwithin.com,4,0.185185185185185
bbb.org,4,0.185185185185185
allure.com,4,0.185185185185185
newsnetwork.mayoclinic.org,4,0.185185185185185
dietdoctor.com,4,0.185185185185185
heart.org,4,0.185185185185185
play.google.com,4,0.185185185185185
ahajournals.org,4,0.185185185185185
muscleandstrength.com,4,0.185185185185185
bestlifeonline.com,4,0.185185185185185
ndtv.com,4,0.185185185185185
fitandwell.com,4,0.185185185185185
nhlbi.nih.gov,4,0.185185185185185
businessinsider.com,4,0.185185185185185
fatcalc.com,4,0.185185185185185
vcahospitals.com,3,0.138888888888889
myalli.com,3,0.138888888888889
globenewswire.com,3,0.138888888888889
isagenix.com,3,0.138888888888889
mwlc.com,3,0.138888888888889
weightandthings.com,3,0.138888888888889
utoronto.ca,3,0.138888888888889
npr.org,3,0.138888888888889
womenshealth.com.au,3,0.138888888888889
whattoexpect.com,3,0.138888888888889
spendwithpennies.com,3,0.138888888888889
active.com,3,0.138888888888889
atkins.com,3,0.138888888888889
spectrum.diabetesjournals.org,3,0.138888888888889
mindbodygreen.com,3,0.138888888888889
glamour.com,3,0.138888888888889
hackensackmeridianhealth.org,3,0.138888888888889
lovelifebefit.com,3,0.138888888888889
brainly.com,3,0.138888888888889
spaindex.com,3,0.138888888888889
cspinet.org,3,0.138888888888889
yogarove.com,3,0.138888888888889
lifespanfitness.com,3,0.138888888888889
huffpost.com,3,0.138888888888889
workingagainstgravity.com,3,0.138888888888889
modernhoney.com,3,0.138888888888889
orlandohealth.com,3,0.138888888888889
stateserv.com,3,0.138888888888889
healthifyme.com,3,0.138888888888889
cosmopolitan.com,3,0.138888888888889
dietdynamo.org,3,0.138888888888889
billingsgazette.com,3,0.138888888888889
honorhealth.com,3,0.138888888888889
dictionary.cambridge.org,3,0.138888888888889
womansworld.com,3,0.138888888888889
calculator.net,3,0.138888888888889
saxenda.com,3,0.138888888888889
soveryblessed.com,3,0.138888888888889
bmioftexas.com,3,0.138888888888889
strongeru.com,3,0.138888888888889
quickweightloss.net,3,0.138888888888889
dietdoc.com,3,0.138888888888889
cbsnews.com,3,0.138888888888889
traveltips.usatoday.com,3,0.138888888888889
consumeraffairs.com,3,0.138888888888889
oprah.com,3,0.138888888888889
hungryhealthyhappy.com,3,0.138888888888889
medium.com,3,0.138888888888889
doctorsthatdo.osteopathic.org,3,0.138888888888889
shawacademy.com,3,0.138888888888889
blog.mapmyrun.com,3,0.138888888888889
discovermagazine.com,3,0.138888888888889
thebump.com,3,0.138888888888889
canyonranch.com,3,0.138888888888889
centerforweightlosssurgery.com,3,0.138888888888889
best-hashtags.com,2,0.092592592592593
cancercare.org,2,0.092592592592593
vox.com,2,0.092592592592593
walgreens.com,2,0.092592592592593
collinsdictionary.com,2,0.092592592592593
modelmydiet.com,2,0.092592592592593
bodycarehealthclub.com.au,2,0.092592592592593
dietbusinesswatch.com,2,0.092592592592593
who.int,2,0.092592592592593
nch.org,2,0.092592592592593
afronutritionfitness.com,2,0.092592592592593
rightasrain.uwmedicine.org,2,0.092592592592593
health.ucdavis.edu,2,0.092592592592593
goodto.com,2,0.092592592592593
thesprucepets.com,2,0.092592592592593
icdlist.com,2,0.092592592592593
helpguide.org,2,0.092592592592593
asweetpeachef.com,2,0.092592592592593
medscape.com,2,0.092592592592593
patriciaandcarolyn.com,2,0.092592592592593
aaptiv.com,2,0.092592592592593
resmed.com,2,0.092592592592593
vertex42.com,2,0.092592592592593
thecamptc.com,2,0.092592592592593
insure.com,2,0.092592592592593
thecottagemarket.com,2,0.092592592592593
delightfulmomfood.com,2,0.092592592592593
redmountainweightloss.com,2,0.092592592592593
loseit.com,2,0.092592592592593
absolutelythin.com,2,0.092592592592593
blog-socal.goldsgym.com,2,0.092592592592593
tasteofhome.com,2,0.092592592592593
cnn.com,2,0.092592592592593
glassdoor.com,2,0.092592592592593
fitfatherproject.com,2,0.092592592592593
chewy.com,2,0.092592592592593
besthealthmag.ca,2,0.092592592592593
mountainent.com,2,0.092592592592593
holmesplace.com,2,0.092592592592593
obesityreporter.com,2,0.092592592592593
icd10data.com,2,0.092592592592593
dudemom.com,2,0.092592592592593
yummymummykitchen.com,2,0.092592592592593
kidshealth.org,2,0.092592592592593
traveltowellness.com,2,0.092592592592593
wardrobeoxygen.com,2,0.092592592592593
delightmedical.com,2,0.092592592592593
researchgate.net,2,0.092592592592593
verywellfamily.com,2,0.092592592592593
reddit.com,2,0.092592592592593
healio.com,2,0.092592592592593
forbes.com,2,0.092592592592593
mmclinic.com,2,0.092592592592593
sleepdr.com,2,0.092592592592593
theconversation.com,2,0.092592592592593
diettogo.com,2,0.092592592592593
cvs.com,2,0.092592592592593
theatlantic.com,2,0.092592592592593
myafricanwaistbeads.com,2,0.092592592592593
allthetests.com,2,0.092592592592593
dogfoodadvisor.com,2,0.092592592592593
emetabolic.com,2,0.092592592592593
goodnature.com,2,0.092592592592593
abcnews.go.com,2,0.092592592592593
blog.mylola.com,2,0.092592592592593
harperbmi.org,2,0.092592592592593
sciencedaily.com,2,0.092592592592593
usatoday.com,2,0.092592592592593
figureweightloss.com,2,0.092592592592593
doyou.com,2,0.092592592592593
lacostadentaltx.com,2,0.092592592592593
emedicinehealth.com,2,0.092592592592593
sciencedirect.com,2,0.092592592592593
templates.office.com,2,0.092592592592593
additudemag.com,2,0.092592592592593
anytimefitness.com,2,0.092592592592593
perfectketo.com,2,0.092592592592593
bistromd.com,2,0.092592592592593
sleepfoundation.org,2,0.092592592592593
etsy.com,2,0.092592592592593
divascancook.com,2,0.092592592592593
secondnature.io,2,0.092592592592593
oliakcenter.com,2,0.092592592592593
petmd.com,2,0.092592592592593
diabetes.org,2,0.092592592592593
delish.com,2,0.092592592592593
lifehack.org,2,0.092592592592593
valleymedicalweightloss.com,2,0.092592592592593
sveltemd.com,2,0.092592592592593
obesityaction.org,2,0.092592592592593
contrave.com,2,0.092592592592593
washingtonpost.com,2,0.092592592592593
healthgrades.com,2,0.092592592592593
marieclaire.com,2,0.092592592592593
thumbtack.com,2,0.092592592592593
healthierweight.co.uk,2,0.092592592592593
burnfatorlando.com,2,0.092592592592593
solutionsweightloss.net,2,0.092592592592593
petco.com,2,0.092592592592593
sch-culvercity.com,1,0.046296296296296
aimin.com.sg,1,0.046296296296296
abbylangernutrition.com,1,0.046296296296296
pritikin.com,1,0.046296296296296
skinnytaste.com,1,0.046296296296296
sciencealert.com,1,0.046296296296296
fitday.com,1,0.046296296296296
structurehouse.com,1,0.046296296296296
mamamia.com.au,1,0.046296296296296
zanesvillemedical.com,1,0.046296296296296
factcheck.afp.com,1,0.046296296296296
bridgemillfamilyhealthcare.com,1,0.046296296296296
goop.com,1,0.046296296296296
bhg.com,1,0.046296296296296
iamherbalifenutrition.com,1,0.046296296296296
dailytelegraph.com.au,1,0.046296296296296
weightandwellness.com,1,0.046296296296296
wsj.com,1,0.046296296296296
english.stackexchange.com,1,0.046296296296296
cleaneatingkitchen.com,1,0.046296296296296
ohiohealth.com,1,0.046296296296296
urbancompany.com,1,0.046296296296296
healthprofs.com,1,0.046296296296296
blog.hubspot.com,1,0.046296296296296
us.exantediet.com,1,0.046296296296296
nine.com.au,1,0.046296296296296
saylordotorg.github.io,1,0.046296296296296
protexinvet.com,1,0.046296296296296
moderndaymanifestations.com,1,0.046296296296296
healthshots.com,1,0.046296296296296
failedbackinstitute.com,1,0.046296296296296
georgiamtc.com,1,0.046296296296296
notsalmon.com,1,0.046296296296296
alabamawls.com,1,0.046296296296296
arrowptr.com,1,0.046296296296296
southshorehealth.org,1,0.046296296296296
medicalweightlosscentersofamerica.com,1,0.046296296296296
kellymom.com,1,0.046296296296296
wvfitnessgyms.com,1,0.046296296296296
gourmetdoneskinny.com,1,0.046296296296296
virtahealth.com,1,0.046296296296296
abc7news.com,1,0.046296296296296
psychiatrictimes.com,1,0.046296296296296
genesishealthclubs.com,1,0.046296296296296
kvoa.com,1,0.046296296296296
uspharmacist.com,1,0.046296296296296
mealplanningmommies.com,1,0.046296296296296
houstonsleevesurgeon.com,1,0.046296296296296
royalcanin.com,1,0.046296296296296
leanbeanofficial.com,1,0.046296296296296
kingstownecatclinic.com,1,0.046296296296296
channelpages.com,1,0.046296296296296
comments.medicinenet.com,1,0.046296296296296
newafricasoftware.com,1,0.046296296296296
blog.nasm.org,1,0.046296296296296
yalemedicine.org,1,0.046296296296296
mealprepify.com,1,0.046296296296296
primehealthdenver.com,1,0.046296296296296
gmband.com,1,0.046296296296296
prorehabchiro.com,1,0.046296296296296
ascopost.com,1,0.046296296296296
idealshape.com,1,0.046296296296296
ebay.com,1,0.046296296296296
bodymindquotient.com,1,0.046296296296296
eatyourselfskinny.com,1,0.046296296296296
wholekitchensink.com,1,0.046296296296296
corporatefinanceinstitute.com,1,0.046296296296296
rivergatemedical.com,1,0.046296296296296
ruled.me,1,0.046296296296296
clinicalcorrelations.org,1,0.046296296296296
mercy.com,1,0.046296296296296
dukehealth.org,1,0.046296296296296
mypainsolution.com,1,0.046296296296296
unitefitnessretreat.com,1,0.046296296296296
ocwellnessphysicians.com,1,0.046296296296296
avocadu.com,1,0.046296296296296
healthywage.com,1,0.046296296296296
llli.org,1,0.046296296296296
dwlz.com,1,0.046296296296296
drugabuse.com,1,0.046296296296296
wtop.com,1,0.046296296296296
thelemonbowl.com,1,0.046296296296296
surgery.ucla.edu,1,0.046296296296296
blackdoctor.org,1,0.046296296296296
food.ndtv.com,1,0.046296296296296
healthengine.com.au,1,0.046296296296296
consumer.ftc.gov,1,0.046296296296296
cancerrd.com,1,0.046296296296296
medifast.knoji.com,1,0.046296296296296
fhfairfax.com,1,0.046296296296296
homebodyzfitness.com,1,0.046296296296296
business-standard.com,1,0.046296296296296
health.ucsd.edu,1,0.046296296296296
thediabetescouncil.com,1,0.046296296296296
pennmedicine.org,1,0.046296296296296
stelizabethphysicians.com,1,0.046296296296296
dicktalens.com,1,0.046296296296296
drkristenbentson.com,1,0.046296296296296
shop4fun.online,1,0.046296296296296
multicare.org,1,0.046296296296296
bodies2envy.com,1,0.046296296296296
profileplan.com,1,0.046296296296296
womenshealth.gov,1,0.046296296296296
indeed.com,1,0.046296296296296
summitortho.com,1,0.046296296296296
economictimes.indiatimes.com,1,0.046296296296296
mominformed.com,1,0.046296296296296
uk.bestreviews.guide,1,0.046296296296296
therecoveryvillage.com,1,0.046296296296296
hindawi.com,1,0.046296296296296
gershonpain.com,1,0.046296296296296
shop.hydroxycut.com,1,0.046296296296296
askinglot.com,1,0.046296296296296
lovelyskin.com,1,0.046296296296296
healthywomen.org,1,0.046296296296296
patientcareonline.com,1,0.046296296296296
applythelawofattraction.com,1,0.046296296296296
houstonweightloss.com,1,0.046296296296296
sharonpalmer.com,1,0.046296296296296
nutritionstudies.org,1,0.046296296296296
weightwise.com,1,0.046296296296296
thecelebsinfo.com,1,0.046296296296296
brightlineeating.com,1,0.046296296296296
makeyourbodywork.com,1,0.046296296296296
harpersbazaar.com,1,0.046296296296296
skyterrawellness.com,1,0.046296296296296
web.noom.com,1,0.046296296296296
prepareforperformance.com,1,0.046296296296296
qwlc.com,1,0.046296296296296
yogajournal.com,1,0.046296296296296
grammarcops.wordpress.com,1,0.046296296296296
michaelmoodyfitness.com,1,0.046296296296296
tomic.com,1,0.046296296296296
tagsfinder.com,1,0.046296296296296
millennial-grind.com,1,0.046296296296296
nyulangone.org,1,0.046296296296296
littlestepsbighappy.com,1,0.046296296296296
lazymanandmoney.com,1,0.046296296296296
foodmatters.com,1,0.046296296296296
tuebingen.mpg.de,1,0.046296296296296
x-diet.us,1,0.046296296296296
spineuniverse.com,1,0.046296296296296
navacenter.com,1,0.046296296296296
holmesplace.gr,1,0.046296296296296
advancedspineandpain.com,1,0.046296296296296
visitcalifornia.com,1,0.046296296296296
adaptivestrength.com.au,1,0.046296296296296
maximuscle.com,1,0.046296296296296
thewhoot.com,1,0.046296296296296
spectrumnutrition.ie,1,0.046296296296296
mountelizabeth.com.sg,1,0.046296296296296
healthcare.utah.edu,1,0.046296296296296
ozempic.com,1,0.046296296296296
steffanycolleran.com,1,0.046296296296296
committedtomyself.com,1,0.046296296296296
endosystems.us,1,0.046296296296296
healthblog.uofmhealth.org,1,0.046296296296296
iceshaker.com,1,0.046296296296296
kutv.com,1,0.046296296296296
mdanderson.org,1,0.046296296296296
theeditorsblog.net,1,0.046296296296296
unboundmedicine.com,1,0.046296296296296
musclebuildingfoodshq.com,1,0.046296296296296
performanceproject.co.uk,1,0.046296296296296
taste.com.au,1,0.046296296296296
takecareof.com,1,0.046296296296296
contextures.com,1,0.046296296296296
studyandanswers.com,1,0.046296296296296
pets.webmd.com,1,0.046296296296296
ajronline.org,1,0.046296296296296
weightlossresources.co.uk,1,0.046296296296296
staceyschaedler.com,1,0.046296296296296
flo.health,1,0.046296296296296
fitstays.com,1,0.046296296296296
spine-health.com,1,0.046296296296296
skinnyms.com,1,0.046296296296296
cookinglight.com,1,0.046296296296296
yourtango.com,1,0.046296296296296
intelligenteconomist.com,1,0.046296296296296
ventureweightloss.com,1,0.046296296296296
marinahospital.com,1,0.046296296296296
aarp.org,1,0.046296296296296
expressweightlossclinic.com,1,0.046296296296296
arthritis.org,1,0.046296296296296
wisesayings.com,1,0.046296296296296
tuftsmedicalcenter.org,1,0.046296296296296
endocrinenews.endocrine.org,1,0.046296296296296
gethealthyu.com,1,0.046296296296296
nutrition.gov,1,0.046296296296296
yumaregional.org,1,0.046296296296296
runbundle.com,1,0.046296296296296
surveymonkey.com,1,0.046296296296296
helloglow.co,1,0.046296296296296
ryanandalex.com,1,0.046296296296296
deerlakelodge.com,1,0.046296296296296
tophealthsource.com,1,0.046296296296296
blogs.webmd.com,1,0.046296296296296
javapresse.com,1,0.046296296296296
headspace.com,1,0.046296296296296
producthunt.com,1,0.046296296296296
choice.com.au,1,0.046296296296296
thyroid.org,1,0.046296296296296
muschealth.org,1,0.046296296296296
lcrhealth.com,1,0.046296296296296
altprotein.com,1,0.046296296296296
lifesum.com,1,0.046296296296296
nutraingredients-latam.com,1,0.046296296296296
rochypnosis.com,1,0.046296296296296
sazworld.com,1,0.046296296296296
premierlipo.com,1,0.046296296296296
platingsandpairings.com,1,0.046296296296296
weightgrapher.com,1,0.046296296296296
meetup.com,1,0.046296296296296
chicagoweightlossclinic.com,1,0.046296296296296
womanandhome.com,1,0.046296296296296
drangiehealth.com,1,0.046296296296296
weightlosscenterofyuma.com,1,0.046296296296296
netquote.com,1,0.046296296296296
healthista.com,1,0.046296296296296
uofmhealth.org,1,0.046296296296296
myinnercreative.com,1,0.046296296296296
primarycareak.com,1,0.046296296296296
forhims.com,1,0.046296296296296
centrespringmd.com,1,0.046296296296296
celebliveupdate.com,1,0.046296296296296
drkellsweightloss.com,1,0.046296296296296
goingmetabolic.com,1,0.046296296296296
ocweightlosscenters.com,1,0.046296296296296
openfit.com,1,0.046296296296296
xonecole.com,1,0.046296296296296
ridgmountpractice.nhs.uk,1,0.046296296296296
drugs.com,1,0.046296296296296
stylecraze.com,1,0.046296296296296
foodnetwork.com,1,0.046296296296296
everydaypower.com,1,0.046296296296296
reverehealth.com,1,0.046296296296296
chesapeakeregional.com,1,0.046296296296296
facingacne.com,1,0.046296296296296
vitals.lifehacker.com,1,0.046296296296296
aafp.org,1,0.046296296296296
jolandabolt.com,1,0.046296296296296
sharefit.com,1,0.046296296296296
coursehero.com,1,0.046296296296296
whyweight.com,1,0.046296296296296
memorialweightlosscenter.com,1,0.046296296296296
apollopainman.com,1,0.046296296296296
biofamilyclinic.com,1,0.046296296296296
getroman.com,1,0.046296296296296
rover.com,1,0.046296296296296
intermountainhealthcare.org,1,0.046296296296296
clintoncountydailynews.com,1,0.046296296296296
printablee.com,1,0.046296296296296
dietspotlight.com,1,0.046296296296296
changeinseconds.com,1,0.046296296296296
justinthomasmiller.com,1,0.046296296296296
streetworkoutstkilda.com,1,0.046296296296296
brainly.in,1,0.046296296296296
health.gov,1,0.046296296296296
njbariatriccenter.com,1,0.046296296296296
pocketsense.com,1,0.046296296296296
masalabody.com,1,0.046296296296296
blog.fitbit.com,1,0.046296296296296
displaypurposes.com,1,0.046296296296296
ipsnews.net,1,0.046296296296296
digestivehealth.ws,1,0.046296296296296
medicalweightlossutah.com,1,0.046296296296296
sharecare.com,1,0.046296296296296
dietbet.com,1,0.046296296296296
horizonweightloss.com,1,0.046296296296296
littlemissrose.com,1,0.046296296296296
drrosswalker.medium.com,1,0.046296296296296
mamafacts.com,1,0.046296296296296
mrskinnypants.com,1,0.046296296296296
prospectmedical.com,1,0.046296296296296
shriver.umassmed.edu,1,0.046296296296296
cherokeewomenshealth.com,1,0.046296296296296
averiecooks.com,1,0.046296296296296
frugalrules.com,1,0.046296296296296
westernbariatricinstitute.com,1,0.046296296296296
magnetgiant.com,1,0.046296296296296
healthcareassociates.com,1,0.046296296296296
mustelausa.com,1,0.046296296296296
weightlosslook.blogspot.com,1,0.046296296296296
healthymummy.co.uk,1,0.046296296296296
wliaz.com,1,0.046296296296296
mywhatever.com,1,0.046296296296296
benandme.com,1,0.046296296296296
top-hashtags.com,1,0.046296296296296
easternshoremedicalweightloss.com,1,0.046296296296296
quizzes.womenshealthnetwork.com,1,0.046296296296296
northsouthblonde.com,1,0.046296296296296
thecut.com,1,0.046296296296296
dnaweekly.com,1,0.046296296296296
amazon.fr,1,0.046296296296296
tandfonline.com,1,0.046296296296296
the-sun.com,1,0.046296296296296
laweekly.com,1,0.046296296296296
mdedge.com,1,0.046296296296296
mangoclinic.com,1,0.046296296296296
gentwenty.com,1,0.046296296296296
ecowatch.com,1,0.046296296296296
nextlevelweightlossfl.com,1,0.046296296296296
dailymail.co.uk,1,0.046296296296296
midlandsclinic.com,1,0.046296296296296
jennycraig.com,1,0.046296296296296
personal-nutrition-guide.com,1,0.046296296296296
addrena.com,1,0.046296296296296
quizlet.com,1,0.046296296296296
memorialweightlossandwellnesscenter.com,1,0.046296296296296
legionathletics.com,1,0.046296296296296
dailyburn.com,1,0.046296296296296
intentapp.com,1,0.046296296296296
maddygutierrez.com,1,0.046296296296296
thelawofattraction.com,1,0.046296296296296
houstonheartburn.com,1,0.046296296296296
magazine.baze.com,1,0.046296296296296
theidiet.com,1,0.046296296296296
newswire.com,1,0.046296296296296
orangetheory.com,1,0.046296296296296
advancedlifeclinic.com,1,0.046296296296296
wholelottayum.com,1,0.046296296296296
thehousewifemodern.com,1,0.046296296296296
craftsyhacks.com,1,0.046296296296296
bariatrictimes.com,1,0.046296296296296
lalymom.com,1,0.046296296296296
bornfitness.com,1,0.046296296296296
theranchmalibu.com,1,0.046296296296296
thebeet.com,1,0.046296296296296
nationaleatingdisorders.org,1,0.046296296296296
tummee.com,1,0.046296296296296
lodgingmagazine.com,1,0.046296296296296
flattummyco.com,1,0.046296296296296
clevescene.com,1,0.046296296296296
podaimaperformance.com,1,0.046296296296296
redbookmag.com,1,0.046296296296296
yildizg.com,1,0.046296296296296
mayoclinichealthsystem.org,1,0.046296296296296
dailyhistory.org,1,0.046296296296296
stretchmarks.org,1,0.046296296296296
salineweightloss.org,1,0.046296296296296
southseattlevet.com,1,0.046296296296296
irp-cdn.multiscreensite.com,1,0.046296296296296
babycenter.com,1,0.046296296296296
firstquarterfinance.com,1,0.046296296296296
quotewizard.com,1,0.046296296296296
drugwatch.com,1,0.046296296296296
acefitness.org,1,0.046296296296296
oaregion6.org,1,0.046296296296296
brightside.me,1,0.046296296296296
affairpost.com,1,0.046296296296296
dlife.com,1,0.046296296296296
amoderm.com,1,0.046296296296296
dailywritingtips.com,1,0.046296296296296
carrieelle.com,1,0.046296296296296
yogafitstudios.com,1,0.046296296296296
exercise4weightloss.com,1,0.046296296296296
osfhealthcare.org,1,0.046296296296296
thecentersanctum.com,1,0.046296296296296
weightlossandwellnesscenter.com,1,0.046296296296296
lalofitness.com,1,0.046296296296296
healthyway.com,1,0.046296296296296
fittr.com,1,0.046296296296296
healthbeet.org,1,0.046296296296296
acadianaweightlosssurgery.com,1,0.046296296296296
sheknows.com,1,0.046296296296296
lexico.com,1,0.046296296296296
vetwest.com.au,1,0.046296296296296
favfamilyrecipes.com,1,0.046296296296296
spitupandsitups.com,1,0.046296296296296
pastemagazine.com,1,0.046296296296296
riteaid.com,1,0.046296296296296
TOTAL,2160,100.00
